evaluations raw_y current_y raw_y_best current_y_best
1 17017934.0485522337257862 17017724.1685522347688675 17017934.0485522337257862 17017724.1685522347688675
2 4502754.7861365517601371 4502544.9061365518718958 4502754.7861365517601371 4502544.9061365518718958
3 38345394.3387636244297028 38345184.4587636217474937 4502754.7861365517601371 4502544.9061365518718958
4 15521160.2684303615242243 15520950.3884303607046604 4502754.7861365517601371 4502544.9061365518718958
5 18943219.3487141095101833 18943009.4687141105532646 4502754.7861365517601371 4502544.9061365518718958
6 57726969.9419125542044640 57726760.0619125515222549 4502754.7861365517601371 4502544.9061365518718958
7 34177148.9112413004040718 34176939.0312412977218628 4502754.7861365517601371 4502544.9061365518718958
8 18533247.4907702766358852 18533037.6107702776789665 4502754.7861365517601371 4502544.9061365518718958
9 7811303.5736161908134818 7811093.6936161909252405 4502754.7861365517601371 4502544.9061365518718958
10 7359904.7261265395209193 7359694.8461265396326780 4502754.7861365517601371 4502544.9061365518718958
11 4688007.6843668147921562 4687797.8043668149039149 4502754.7861365517601371 4502544.9061365518718958
12 5377933.4772880086675286 5377723.5972880087792873 4502754.7861365517601371 4502544.9061365518718958
13 4390322.3925132770091295 4390112.5125132771208882 4390322.3925132770091295 4390112.5125132771208882
14 6297387.2558045275509357 6297177.3758045276626945 4390322.3925132770091295 4390112.5125132771208882
15 3704217.4532340904697776 3704007.5732340905815363 3704217.4532340904697776 3704007.5732340905815363
16 2846183.7861238210462034 2845973.9061238211579621 2846183.7861238210462034 2845973.9061238211579621
17 3613659.5674379263073206 3613449.6874379264190793 2846183.7861238210462034 2845973.9061238211579621
18 3713255.0724202855490148 3713045.1924202856607735 2846183.7861238210462034 2845973.9061238211579621
19 3746478.4518398265354335 3746268.5718398266471922 2846183.7861238210462034 2845973.9061238211579621
20 3286320.1848136968910694 3286110.3048136970028281 2846183.7861238210462034 2845973.9061238211579621
21 2494239.8600208726711571 2494029.9800208727829158 2494239.8600208726711571 2494029.9800208727829158
22 2348862.1318631698377430 2348652.2518631699495018 2348862.1318631698377430 2348652.2518631699495018
23 2222468.9814911875873804 2222259.1014911876991391 2222468.9814911875873804 2222259.1014911876991391
24 1812400.4722681900020689 1812190.5922681901138276 1812400.4722681900020689 1812190.5922681901138276
25 2251755.4450587593019009 2251545.5650587594136596 1812400.4722681900020689 1812190.5922681901138276
26 1876555.7031632009893656 1876345.8231632011011243 1812400.4722681900020689 1812190.5922681901138276
27 4749519.2703500958159566 4749309.3903500959277153 1812400.4722681900020689 1812190.5922681901138276
28 2389093.4865203467197716 2388883.6065203468315303 1812400.4722681900020689 1812190.5922681901138276
29 1667847.7705596843734384 1667637.8905596844851971 1667847.7705596843734384 1667637.8905596844851971
30 1469233.9098559727426618 1469024.0298559728544205 1469233.9098559727426618 1469024.0298559728544205
31 4118631.3826881279237568 4118421.5026881280355155 1469233.9098559727426618 1469024.0298559728544205
32 2896932.2774394615553319 2896722.3974394616670907 1469233.9098559727426618 1469024.0298559728544205
33 1928775.4826518085319549 1928565.6026518086437136 1469233.9098559727426618 1469024.0298559728544205
34 1769840.0567283912096173 1769630.1767283913213760 1469233.9098559727426618 1469024.0298559728544205
35 2723752.2700205990113318 2723542.3900205991230905 1469233.9098559727426618 1469024.0298559728544205
36 2102786.3523745820857584 2102576.4723745821975172 1469233.9098559727426618 1469024.0298559728544205
37 2749494.1162505382671952 2749284.2362505383789539 1469233.9098559727426618 1469024.0298559728544205
38 1295509.8719244289677590 1295299.9919244290795177 1295509.8719244289677590 1295299.9919244290795177
39 1735546.3911171332001686 1735336.5111171333119273 1295509.8719244289677590 1295299.9919244290795177
40 2992834.9482406079769135 2992625.0682406080886722 1295509.8719244289677590 1295299.9919244290795177
41 2432111.8101212317124009 2431901.9301212318241596 1295509.8719244289677590 1295299.9919244290795177
42 4443139.6913524717092514 4442929.8113524718210101 1295509.8719244289677590 1295299.9919244290795177
43 1248096.5354621836449951 1247886.6554621837567538 1248096.5354621836449951 1247886.6554621837567538
44 1700772.5764300865121186 1700562.6964300866238773 1248096.5354621836449951 1247886.6554621837567538
45 2625061.6881721904501319 2624851.8081721905618906 1248096.5354621836449951 1247886.6554621837567538
46 1644654.4993449903558940 1644444.6193449904676527 1248096.5354621836449951 1247886.6554621837567538
47 1887149.0573966302908957 1886939.1773966304026544 1248096.5354621836449951 1247886.6554621837567538
48 3611521.7788590095005929 3611311.8988590096123517 1248096.5354621836449951 1247886.6554621837567538
49 1470234.1359958751127124 1470024.2559958752244711 1248096.5354621836449951 1247886.6554621837567538
