evaluations raw_y current_y raw_y_best current_y_best
1 27586638.7557250335812569 27586428.8757250346243382 27586638.7557250335812569 27586428.8757250346243382
2 42731451.1606180965900421 42731241.2806180939078331 27586638.7557250335812569 27586428.8757250346243382
3 7836944.0628944030031562 7836734.1828944031149149 7836944.0628944030031562 7836734.1828944031149149
4 34395212.5488003939390182 34395002.6688003912568092 7836944.0628944030031562 7836734.1828944031149149
5 14694942.8344521075487137 14694732.9544521067291498 7836944.0628944030031562 7836734.1828944031149149
6 32779511.8133917339146137 32779301.9333917349576950 7836944.0628944030031562 7836734.1828944031149149
7 11272221.8689410444349051 11272011.9889410436153412 7836944.0628944030031562 7836734.1828944031149149
8 35327092.6094860732555389 35326882.7294860705733299 7836944.0628944030031562 7836734.1828944031149149
9 5393184.9721372835338116 5392975.0921372836455703 5393184.9721372835338116 5392975.0921372836455703
10 6390775.3324869442731142 6390565.4524869443848729 5393184.9721372835338116 5392975.0921372836455703
11 6839841.5589512363076210 6839631.6789512364193797 5393184.9721372835338116 5392975.0921372836455703
12 4955193.2233134284615517 4954983.3433134285733104 4955193.2233134284615517 4954983.3433134285733104
13 6630758.0657502273097634 6630548.1857502274215221 4955193.2233134284615517 4954983.3433134285733104
14 6355333.1407745806500316 6355123.2607745807617903 4955193.2233134284615517 4954983.3433134285733104
15 5786241.5218338463455439 5786031.6418338464573026 4955193.2233134284615517 4954983.3433134285733104
16 7942492.6509036440402269 7942282.7709036441519856 4955193.2233134284615517 4954983.3433134285733104
17 6090177.4683315139263868 6089967.5883315140381455 4955193.2233134284615517 4954983.3433134285733104
18 6802972.4311662456020713 6802762.5511662457138300 4955193.2233134284615517 4954983.3433134285733104
19 5048226.3656954132020473 5048016.4856954133138061 4955193.2233134284615517 4954983.3433134285733104
20 6530148.4164398275315762 6529938.5364398276433349 4955193.2233134284615517 4954983.3433134285733104
21 5190009.1719762720167637 5189799.2919762721285224 4955193.2233134284615517 4954983.3433134285733104
22 5000599.5854774117469788 5000389.7054774118587375 4955193.2233134284615517 4954983.3433134285733104
23 5439974.0749729350209236 5439764.1949729351326823 4955193.2233134284615517 4954983.3433134285733104
24 5370516.3987369425594807 5370306.5187369426712394 4955193.2233134284615517 4954983.3433134285733104
25 6583931.0688466429710388 6583721.1888466430827975 4955193.2233134284615517 4954983.3433134285733104
26 5516368.4831776637583971 5516158.6031776638701558 4955193.2233134284615517 4954983.3433134285733104
27 3995884.8182428376749158 3995674.9382428377866745 3995884.8182428376749158 3995674.9382428377866745
28 5055931.4598754700273275 5055721.5798754701390862 3995884.8182428376749158 3995674.9382428377866745
29 5738603.7604841161519289 5738393.8804841162636876 3995884.8182428376749158 3995674.9382428377866745
30 4428295.8759563658386469 4428085.9959563659504056 3995884.8182428376749158 3995674.9382428377866745
31 5193289.9589284434914589 5193080.0789284436032176 3995884.8182428376749158 3995674.9382428377866745
32 5061217.1682823160663247 5061007.2882823161780834 3995884.8182428376749158 3995674.9382428377866745
33 4552274.5209366204217076 4552064.6409366205334663 3995884.8182428376749158 3995674.9382428377866745
34 4507900.7517701704055071 4507690.8717701705172658 3995884.8182428376749158 3995674.9382428377866745
35 5480773.8667712667956948 5480563.9867712669074535 3995884.8182428376749158 3995674.9382428377866745
36 4388473.5699698030948639 4388263.6899698032066226 3995884.8182428376749158 3995674.9382428377866745
37 6353533.9489846527576447 6353324.0689846528694034 3995884.8182428376749158 3995674.9382428377866745
38 4694894.5234998436644673 4694684.6434998437762260 3995884.8182428376749158 3995674.9382428377866745
39 4261884.9473614571616054 4261675.0673614572733641 3995884.8182428376749158 3995674.9382428377866745
40 4657625.6085456293076277 4657415.7285456294193864 3995884.8182428376749158 3995674.9382428377866745
41 4880103.9651092505082488 4879894.0851092506200075 3995884.8182428376749158 3995674.9382428377866745
42 4520314.9762023072689772 4520105.0962023073807359 3995884.8182428376749158 3995674.9382428377866745
43 3788522.5500506018288434 3788312.6700506019406021 3788522.5500506018288434 3788312.6700506019406021
44 3745511.4869177439250052 3745301.6069177440367639 3745511.4869177439250052 3745301.6069177440367639
45 4668868.2099472247064114 4668658.3299472248181701 3745511.4869177439250052 3745301.6069177440367639
46 4487683.5264805154874921 4487473.6464805155992508 3745511.4869177439250052 3745301.6069177440367639
47 10330650.4672583527863026 10330440.5872583519667387 3745511.4869177439250052 3745301.6069177440367639
48 4955131.7646631002426147 4954921.8846631003543735 3745511.4869177439250052 3745301.6069177440367639
49 6405915.3324727946892381 6405705.4524727948009968 3745511.4869177439250052 3745301.6069177440367639
50 5748136.2979004671797156 5747926.4179004672914743 3745511.4869177439250052 3745301.6069177440367639
51 4845306.4292369475588202 4845096.5492369476705790 3745511.4869177439250052 3745301.6069177440367639
52 4340387.9036478754132986 4340178.0236478755250573 3745511.4869177439250052 3745301.6069177440367639
53 7543930.9708882160484791 7543721.0908882161602378 3745511.4869177439250052 3745301.6069177440367639
54 5565061.0096685439348221 5564851.1296685440465808 3745511.4869177439250052 3745301.6069177440367639
55 7639196.6411720430478454 7638986.7611720431596041 3745511.4869177439250052 3745301.6069177440367639
56 4916505.5538422912359238 4916295.6738422913476825 3745511.4869177439250052 3745301.6069177440367639
57 6518174.7831317540258169 6517964.9031317541375756 3745511.4869177439250052 3745301.6069177440367639
58 4212616.6061479458585382 4212406.7261479459702969 3745511.4869177439250052 3745301.6069177440367639
59 3857797.3944310680963099 3857587.5144310682080686 3745511.4869177439250052 3745301.6069177440367639
60 6469450.9837058512493968 6469241.1037058513611555 3745511.4869177439250052 3745301.6069177440367639
61 5271766.6471779868006706 5271556.7671779869124293 3745511.4869177439250052 3745301.6069177440367639
62 4129121.7967410832643509 4128911.9167410833761096 3745511.4869177439250052 3745301.6069177440367639
