evaluations raw_y current_y raw_y_best current_y_best
1 55119218.5724537819623947 55119008.6924537792801857 55119218.5724537819623947 55119008.6924537792801857
2 1267706.3362614053767174 1267496.4562614054884762 1267706.3362614053767174 1267496.4562614054884762
3 19185341.2929311655461788 19185131.4129311665892601 1267706.3362614053767174 1267496.4562614054884762
4 6178962.9456903692334890 6178753.0656903693452477 1267706.3362614053767174 1267496.4562614054884762
5 31874633.5210947357118130 31874423.6410947367548943 1267706.3362614053767174 1267496.4562614054884762
6 9539388.3001038227230310 9539178.4201038219034672 1267706.3362614053767174 1267496.4562614054884762
7 3221694.5429213689640164 3221484.6629213690757751 1267706.3362614053767174 1267496.4562614054884762
8 17067710.5500103384256363 17067500.6700103394687176 1267706.3362614053767174 1267496.4562614054884762
9 817786.0971434089588001 817576.2171434089541435 817786.0971434089588001 817576.2171434089541435
10 1551357.6384490556083620 1551147.7584490557201207 817786.0971434089588001 817576.2171434089541435
11 4526340.1825227988883853 4526130.3025227990001440 817786.0971434089588001 817576.2171434089541435
12 1503943.6323739548679441 1503733.7523739549797028 817786.0971434089588001 817576.2171434089541435
13 2579653.7239744579419494 2579443.8439744580537081 817786.0971434089588001 817576.2171434089541435
14 961237.6633366616442800 961027.7833366616396233 817786.0971434089588001 817576.2171434089541435
15 767144.1316306067164987 766934.2516306067118421 767144.1316306067164987 766934.2516306067118421
16 1967378.4653360368683934 1967168.5853360369801521 767144.1316306067164987 766934.2516306067118421
17 792871.6986544658429921 792661.8186544658383355 767144.1316306067164987 766934.2516306067118421
18 946311.1885632284684107 946101.3085632284637541 767144.1316306067164987 766934.2516306067118421
19 2240339.4492187602445483 2240129.5692187603563070 767144.1316306067164987 766934.2516306067118421
20 5316273.7184945726767182 5316063.8384945727884769 767144.1316306067164987 766934.2516306067118421
21 2604057.2011105017736554 2603847.3211105018854141 767144.1316306067164987 766934.2516306067118421
22 1626719.6347562684677541 1626509.7547562685795128 767144.1316306067164987 766934.2516306067118421
23 7856508.7847612667828798 7856298.9047612668946385 767144.1316306067164987 766934.2516306067118421
24 5522820.1691625425592065 5522610.2891625426709652 767144.1316306067164987 766934.2516306067118421
25 1804123.4980248811189085 1803913.6180248812306672 767144.1316306067164987 766934.2516306067118421
26 1432554.9666056334972382 1432345.0866056336089969 767144.1316306067164987 766934.2516306067118421
27 900392.9327129616867751 900183.0527129616821185 767144.1316306067164987 766934.2516306067118421
28 1147575.8696628164034337 1147365.9896628165151924 767144.1316306067164987 766934.2516306067118421
29 865509.5256008822470903 865299.6456008822424337 767144.1316306067164987 766934.2516306067118421
30 1227194.0700673684477806 1226984.1900673685595393 767144.1316306067164987 766934.2516306067118421
31 3340935.7835676860995591 3340725.9035676862113178 767144.1316306067164987 766934.2516306067118421
32 2452357.8673050692304969 2452147.9873050693422556 767144.1316306067164987 766934.2516306067118421
33 3311081.7948545785620809 3310871.9148545786738396 767144.1316306067164987 766934.2516306067118421
34 2114015.9933493146672845 2113806.1133493147790432 767144.1316306067164987 766934.2516306067118421
35 1016941.5743607835611328 1016731.6943607835564762 767144.1316306067164987 766934.2516306067118421
36 3183243.9466150263324380 3183034.0666150264441967 767144.1316306067164987 766934.2516306067118421
37 1238263.8572878218255937 1238053.9772878219373524 767144.1316306067164987 766934.2516306067118421
38 688549.2541637669783086 688339.3741637669736519 688549.2541637669783086 688339.3741637669736519
39 1517289.4962902807164937 1517079.6162902808282524 688549.2541637669783086 688339.3741637669736519
40 6603786.6834966400638223 6603576.8034966401755810 688549.2541637669783086 688339.3741637669736519
41 4478245.9147202670574188 4478036.0347202671691775 688549.2541637669783086 688339.3741637669736519
42 3279243.3037844486534595 3279033.4237844487652183 688549.2541637669783086 688339.3741637669736519
43 1294252.8964988195803016 1294043.0164988196920604 688549.2541637669783086 688339.3741637669736519
44 809154.4085679585114121 808944.5285679585067555 688549.2541637669783086 688339.3741637669736519
45 1095716.8397917214315385 1095506.9597917215432972 688549.2541637669783086 688339.3741637669736519
46 4674753.6739890519529581 4674543.7939890520647168 688549.2541637669783086 688339.3741637669736519
47 2618578.1782191675156355 2618368.2982191676273942 688549.2541637669783086 688339.3741637669736519
48 1140502.0044624593574554 1140292.1244624594692141 688549.2541637669783086 688339.3741637669736519
49 1825868.9250366529449821 1825659.0450366530567408 688549.2541637669783086 688339.3741637669736519
50 3334356.5645119436085224 3334146.6845119437202811 688549.2541637669783086 688339.3741637669736519
51 880072.8465015790425241 879862.9665015790378675 688549.2541637669783086 688339.3741637669736519
52 1043363.1913210696075112 1043153.3113210696028545 688549.2541637669783086 688339.3741637669736519
53 921897.4418853879906237 921687.5618853879859671 688549.2541637669783086 688339.3741637669736519
54 7025582.2433423902839422 7025372.3633423903957009 688549.2541637669783086 688339.3741637669736519
