function_id,method,seed,run_idx,runtime_seconds
2,pca_bo,12,0,149.912130
2,pca_bo_dynamic_orthogonal_v2,12,0,143.253707
2,botorch_baseline,12,0,217.440885
2,pca_bo,13,1,53.862276
2,pca_bo_dynamic_orthogonal_v2,13,1,145.848695
2,botorch_baseline,13,1,243.228741
2,pca_bo,14,2,113.510223
2,pca_bo_dynamic_orthogonal_v2,14,2,179.134486
2,botorch_baseline,14,2,218.139544
2,pca_bo,15,3,94.001948
2,pca_bo_dynamic_orthogonal_v2,15,3,250.421825
2,botorch_baseline,15,3,276.713325
2,pca_bo,16,4,114.048637
2,pca_bo_dynamic_orthogonal_v2,16,4,275.400664
2,botorch_baseline,16,4,287.548303
2,pca_bo,17,5,83.196016
2,pca_bo_dynamic_orthogonal_v2,17,5,235.446818
2,botorch_baseline,17,5,256.755289
2,pca_bo,18,6,133.950574
2,pca_bo_dynamic_orthogonal_v2,18,6,247.539086
2,botorch_baseline,18,6,230.731478
2,pca_bo,19,7,74.972576
2,pca_bo_dynamic_orthogonal_v2,19,7,303.200645
2,botorch_baseline,19,7,180.548165
2,pca_bo,20,8,209.507161
2,pca_bo_dynamic_orthogonal_v2,20,8,219.506711
2,botorch_baseline,20,8,213.685301
2,pca_bo,21,9,87.675534
2,pca_bo_dynamic_orthogonal_v2,21,9,141.730493
2,botorch_baseline,21,9,252.287466
2,pca_bo,22,10,75.153524
2,pca_bo_dynamic_orthogonal_v2,22,10,263.015584
2,botorch_baseline,22,10,264.561659
2,pca_bo,23,11,81.883762
2,pca_bo_dynamic_orthogonal_v2,23,11,199.913094
2,botorch_baseline,23,11,185.121529
2,pca_bo,24,12,128.601327
2,pca_bo_dynamic_orthogonal_v2,24,12,120.218716
2,botorch_baseline,24,12,245.282039
2,pca_bo,25,13,92.615217
2,pca_bo_dynamic_orthogonal_v2,25,13,279.863211
2,botorch_baseline,25,13,283.782430
2,pca_bo,26,14,72.961508
2,pca_bo_dynamic_orthogonal_v2,26,14,285.559299
2,botorch_baseline,26,14,269.084257
2,pca_bo,27,15,123.242169
2,pca_bo_dynamic_orthogonal_v2,27,15,148.531613
2,botorch_baseline,27,15,266.567687
2,pca_bo,28,16,123.970723
2,pca_bo_dynamic_orthogonal_v2,28,16,151.995762
2,botorch_baseline,28,16,240.652902
2,pca_bo,29,17,71.620631
2,pca_bo_dynamic_orthogonal_v2,29,17,180.008884
2,botorch_baseline,29,17,258.536383
2,pca_bo,30,18,71.254012
2,pca_bo_dynamic_orthogonal_v2,30,18,242.651276
2,botorch_baseline,30,18,279.069392
2,pca_bo,31,19,74.945821
2,pca_bo_dynamic_orthogonal_v2,31,19,325.213466
