evaluations raw_y current_y raw_y_best current_y_best
1 439585.4324263014714234 439734.5824263014947064 439585.4324263014714234 439734.5824263014947064
2 573784.4547001898754388 573933.6047001898987219 439585.4324263014714234 439734.5824263014947064
3 461320.9114693776937202 461470.0614693777170032 439585.4324263014714234 439734.5824263014947064
4 522837.3122820896678604 522986.4622820896911435 439585.4324263014714234 439734.5824263014947064
5 470035.9370475272298791 470185.0870475272531621 439585.4324263014714234 439734.5824263014947064
6 902162.1859603887423873 902311.3359603887656704 439585.4324263014714234 439734.5824263014947064
7 634637.8548355260863900 634787.0048355261096731 439585.4324263014714234 439734.5824263014947064
8 177767.5092811503855046 177916.6592811503796838 177767.5092811503855046 177916.6592811503796838
9 606440.0498761523049325 606589.1998761523282155 177767.5092811503855046 177916.6592811503796838
10 397949.7654895512387156 398098.9154895512619987 177767.5092811503855046 177916.6592811503796838
11 494239.1711117419763468 494388.3211117419996299 177767.5092811503855046 177916.6592811503796838
12 699781.7088141435524449 699930.8588141435757279 177767.5092811503855046 177916.6592811503796838
13 262835.9926390142063610 262985.1426390142296441 177767.5092811503855046 177916.6592811503796838
14 465646.3979288811096922 465795.5479288811329752 177767.5092811503855046 177916.6592811503796838
15 641344.4201055656885728 641493.5701055657118559 177767.5092811503855046 177916.6592811503796838
16 740006.2364351598080248 740155.3864351598313078 177767.5092811503855046 177916.6592811503796838
17 527528.9317270598839968 527678.0817270599072799 177767.5092811503855046 177916.6592811503796838
18 793188.0716884299181402 793337.2216884299414232 177767.5092811503855046 177916.6592811503796838
19 924420.1082628152798861 924569.2582628153031692 177767.5092811503855046 177916.6592811503796838
20 705955.0893768025562167 706104.2393768025794998 177767.5092811503855046 177916.6592811503796838
21 275418.9248879401129670 275568.0748879401362501 177767.5092811503855046 177916.6592811503796838
22 250253.4486048497201409 250402.5986048497143202 177767.5092811503855046 177916.6592811503796838
23 566341.4021953664487228 566490.5521953664720058 177767.5092811503855046 177916.6592811503796838
24 211202.3055735668167472 211351.4555735668109264 177767.5092811503855046 177916.6592811503796838
25 117142.3937209076684667 117291.5437209076626459 117142.3937209076684667 117291.5437209076626459
26 514108.2341490351827815 514257.3841490352060646 117142.3937209076684667 117291.5437209076626459
27 370653.6028721370967105 370802.7528721371199936 117142.3937209076684667 117291.5437209076626459
28 731410.4161511452402920 731559.5661511452635750 117142.3937209076684667 117291.5437209076626459
29 725491.8915682910010219 725641.0415682910243049 117142.3937209076684667 117291.5437209076626459
30 627171.8447110325796530 627320.9947110326029360 117142.3937209076684667 117291.5437209076626459
31 248080.5115983953000978 248229.6615983952942770 117142.3937209076684667 117291.5437209076626459
32 602180.2887112703174353 602329.4387112703407183 117142.3937209076684667 117291.5437209076626459
33 499500.2595029500080273 499649.4095029500313103 117142.3937209076684667 117291.5437209076626459
34 668052.5584336663596332 668201.7084336663829163 117142.3937209076684667 117291.5437209076626459
