evaluations raw_y current_y raw_y_best current_y_best
1 15708597.3453794196248055 15708387.4653794188052416 15708597.3453794196248055 15708387.4653794188052416
2 40689026.3178867921233177 40688816.4378867894411087 15708597.3453794196248055 15708387.4653794188052416
3 11529981.9094285052269697 11529772.0294285044074059 11529981.9094285052269697 11529772.0294285044074059
4 12529728.7097401041537523 12529518.8297401033341885 11529981.9094285052269697 11529772.0294285044074059
5 16274964.1844829749315977 16274754.3044829741120338 11529981.9094285052269697 11529772.0294285044074059
6 27155284.3613487109541893 27155074.4813487119972706 11529981.9094285052269697 11529772.0294285044074059
7 43532868.4635346755385399 43532658.5835346728563309 11529981.9094285052269697 11529772.0294285044074059
8 46089419.7470405697822571 46089209.8670405671000481 11529981.9094285052269697 11529772.0294285044074059
9 15676856.6505410447716713 15676646.7705410439521074 11529981.9094285052269697 11529772.0294285044074059
10 7460778.1055152462795377 7460568.2255152463912964 7460778.1055152462795377 7460568.2255152463912964
11 9253672.3436819575726986 9253462.4636819567531347 7460778.1055152462795377 7460568.2255152463912964
12 7713421.3412985494360328 7713211.4612985495477915 7460778.1055152462795377 7460568.2255152463912964
13 9386428.9801782295107841 9386219.1001782286912203 7460778.1055152462795377 7460568.2255152463912964
14 6428847.0610835477709770 6428637.1810835478827357 6428847.0610835477709770 6428637.1810835478827357
15 6956823.8413467518985271 6956613.9613467520102859 6428847.0610835477709770 6428637.1810835478827357
16 5963240.1253302637487650 5963030.2453302638605237 5963240.1253302637487650 5963030.2453302638605237
17 5827095.0969239901751280 5826885.2169239902868867 5827095.0969239901751280 5826885.2169239902868867
18 7405896.4659189973026514 7405686.5859189974144101 5827095.0969239901751280 5826885.2169239902868867
19 4948953.0239868694916368 4948743.1439868696033955 4948953.0239868694916368 4948743.1439868696033955
20 5126058.9160967646166682 5125849.0360967647284269 4948953.0239868694916368 4948743.1439868696033955
21 5193108.4102436322718859 5192898.5302436323836446 4948953.0239868694916368 4948743.1439868696033955
22 5525460.4605574775487185 5525250.5805574776604772 4948953.0239868694916368 4948743.1439868696033955
23 5201947.1368552120402455 5201737.2568552121520042 4948953.0239868694916368 4948743.1439868696033955
24 5507132.0998307913541794 5506922.2198307914659381 4948953.0239868694916368 4948743.1439868696033955
25 6347667.2329027270898223 6347457.3529027272015810 4948953.0239868694916368 4948743.1439868696033955
26 6089789.2628782484680414 6089579.3828782485798001 4948953.0239868694916368 4948743.1439868696033955
27 4600998.8494826434180140 4600788.9694826435297728 4600998.8494826434180140 4600788.9694826435297728
28 4472981.9633235791698098 4472772.0833235792815685 4472981.9633235791698098 4472772.0833235792815685
29 4618363.2732060123234987 4618153.3932060124352574 4472981.9633235791698098 4472772.0833235792815685
30 5213293.2087902324274182 5213083.3287902325391769 4472981.9633235791698098 4472772.0833235792815685
31 4623115.5185032514855266 4622905.6385032515972853 4472981.9633235791698098 4472772.0833235792815685
32 4787794.1806216975674033 4787584.3006216976791620 4472981.9633235791698098 4472772.0833235792815685
33 5211415.7610179092735052 5211205.8810179093852639 4472981.9633235791698098 4472772.0833235792815685
34 6643519.3231230974197388 6643309.4431230975314975 4472981.9633235791698098 4472772.0833235792815685
35 4861134.2497836919501424 4860924.3697836920619011 4472981.9633235791698098 4472772.0833235792815685
36 5193821.2170590804889798 5193611.3370590806007385 4472981.9633235791698098 4472772.0833235792815685
37 5124943.7328164186328650 5124733.8528164187446237 4472981.9633235791698098 4472772.0833235792815685
38 5343859.1982323247939348 5343649.3182323249056935 4472981.9633235791698098 4472772.0833235792815685
39 5364339.2457004385069013 5364129.3657004386186600 4472981.9633235791698098 4472772.0833235792815685
40 5011347.2864127187058330 5011137.4064127188175917 4472981.9633235791698098 4472772.0833235792815685
41 5351266.1893203398212790 5351056.3093203399330378 4472981.9633235791698098 4472772.0833235792815685
42 4972431.5504548558965325 4972221.6704548560082912 4472981.9633235791698098 4472772.0833235792815685
43 5321503.9481343850493431 5321294.0681343851611018 4472981.9633235791698098 4472772.0833235792815685
44 4629716.7373632974922657 4629506.8573632976040244 4472981.9633235791698098 4472772.0833235792815685
45 5291862.8219495313242078 5291652.9419495314359665 4472981.9633235791698098 4472772.0833235792815685
46 5522737.4830941483378410 5522527.6030941484495997 4472981.9633235791698098 4472772.0833235792815685
47 4527816.8828837173059583 4527607.0028837174177170 4472981.9633235791698098 4472772.0833235792815685
48 4749885.1583694228902459 4749675.2783694230020046 4472981.9633235791698098 4472772.0833235792815685
49 4808261.7227980969473720 4808051.8427980970591307 4472981.9633235791698098 4472772.0833235792815685
50 4695011.2745262375101447 4694801.3945262376219034 4472981.9633235791698098 4472772.0833235792815685
51 5061970.1262084618210793 5061760.2462084619328380 4472981.9633235791698098 4472772.0833235792815685
52 4946030.5100866360589862 4945820.6300866361707449 4472981.9633235791698098 4472772.0833235792815685
53 5871752.1333947367966175 5871542.2533947369083762 4472981.9633235791698098 4472772.0833235792815685
54 4681066.1479633217677474 4680856.2679633218795061 4472981.9633235791698098 4472772.0833235792815685
55 4962693.7343452479690313 4962483.8543452480807900 4472981.9633235791698098 4472772.0833235792815685
56 4972629.0862114848569036 4972419.2062114849686623 4472981.9633235791698098 4472772.0833235792815685
57 4675607.8556505590677261 4675397.9756505591794848 4472981.9633235791698098 4472772.0833235792815685
58 4664908.0888858186081052 4664698.2088858187198639 4472981.9633235791698098 4472772.0833235792815685
59 5590928.3199679059907794 5590718.4399679061025381 4472981.9633235791698098 4472772.0833235792815685
60 5396134.3463715799152851 5395924.4663715800270438 4472981.9633235791698098 4472772.0833235792815685
61 5078238.5538870431482792 5078028.6738870432600379 4472981.9633235791698098 4472772.0833235792815685
62 5042460.1032219706103206 5042250.2232219707220793 4472981.9633235791698098 4472772.0833235792815685
63 4793485.0650139991194010 4793275.1850139992311597 4472981.9633235791698098 4472772.0833235792815685
64 4532583.8516988884657621 4532373.9716988885775208 4472981.9633235791698098 4472772.0833235792815685
65 4788155.8658619746565819 4787945.9858619747683406 4472981.9633235791698098 4472772.0833235792815685
66 4927199.3294032737612724 4926989.4494032738730311 4472981.9633235791698098 4472772.0833235792815685
67 4492679.6954397782683372 4492469.8154397783800960 4472981.9633235791698098 4472772.0833235792815685
68 5879081.9470114717260003 5878872.0670114718377590 4472981.9633235791698098 4472772.0833235792815685
69 4472639.0345125338062644 4472429.1545125339180231 4472639.0345125338062644 4472429.1545125339180231
70 6760809.3209910066798329 6760599.4409910067915916 4472639.0345125338062644 4472429.1545125339180231
71 4560478.7933564297854900 4560268.9133564298972487 4472639.0345125338062644 4472429.1545125339180231
72 4826123.0323688304051757 4825913.1523688305169344 4472639.0345125338062644 4472429.1545125339180231
73 5454950.6437222966924310 5454740.7637222968041897 4472639.0345125338062644 4472429.1545125339180231
74 4639473.7679471578449011 4639263.8879471579566598 4472639.0345125338062644 4472429.1545125339180231
75 4546228.1534778820350766 4546018.2734778821468353 4472639.0345125338062644 4472429.1545125339180231
76 6031529.2810802264139056 6031319.4010802265256643 4472639.0345125338062644 4472429.1545125339180231
77 5229953.0117908166721463 5229743.1317908167839050 4472639.0345125338062644 4472429.1545125339180231
78 5201104.1180628631263971 5200894.2380628632381558 4472639.0345125338062644 4472429.1545125339180231
79 4512366.9197870204225183 4512157.0397870205342770 4472639.0345125338062644 4472429.1545125339180231
80 4684167.9144713580608368 4683958.0344713581725955 4472639.0345125338062644 4472429.1545125339180231
81 6501856.6692276000976562 6501646.7892276002094150 4472639.0345125338062644 4472429.1545125339180231
82 4727977.6579874288290739 4727767.7779874289408326 4472639.0345125338062644 4472429.1545125339180231
83 8246799.7870997441932559 8246589.9070997443050146 4472639.0345125338062644 4472429.1545125339180231
84 5072898.1604557111859322 5072688.2804557112976909 4472639.0345125338062644 4472429.1545125339180231
85 7085081.6542095066979527 7084871.7742095068097115 4472639.0345125338062644 4472429.1545125339180231
86 4658802.8549400586634874 4658592.9749400587752461 4472639.0345125338062644 4472429.1545125339180231
87 4921960.2752206306904554 4921750.3952206308022141 4472639.0345125338062644 4472429.1545125339180231
88 4644758.5334617663174868 4644548.6534617664292455 4472639.0345125338062644 4472429.1545125339180231
89 4560331.2865469129756093 4560121.4065469130873680 4472639.0345125338062644 4472429.1545125339180231
90 4708362.7903008013963699 4708152.9103008015081286 4472639.0345125338062644 4472429.1545125339180231
91 4504182.1844108719378710 4503972.3044108720496297 4472639.0345125338062644 4472429.1545125339180231
92 4541401.6356886159628630 4541191.7556886160746217 4472639.0345125338062644 4472429.1545125339180231
93 5178397.4886190397664905 5178187.6086190398782492 4472639.0345125338062644 4472429.1545125339180231
94 4675777.9685964994132519 4675568.0885964995250106 4472639.0345125338062644 4472429.1545125339180231
95 5357835.7133642081171274 5357625.8333642082288861 4472639.0345125338062644 4472429.1545125339180231
96 6086072.9445471307262778 6085863.0645471308380365 4472639.0345125338062644 4472429.1545125339180231
97 4904338.7993481643497944 4904128.9193481644615531 4472639.0345125338062644 4472429.1545125339180231
98 5412374.1719464845955372 5412164.2919464847072959 4472639.0345125338062644 4472429.1545125339180231
99 4495283.6986803095787764 4495073.8186803096905351 4472639.0345125338062644 4472429.1545125339180231
100 4529470.9504150319844484 4529261.0704150320962071 4472639.0345125338062644 4472429.1545125339180231
