evaluations raw_y current_y raw_y_best current_y_best
1 502954.8268956412794068 503103.9768956413026899 502954.8268956412794068 503103.9768956413026899
2 299298.6105718748876825 299447.7605718749109656 299298.6105718748876825 299447.7605718749109656
3 152736.4232075694599189 152885.5732075694540981 152736.4232075694599189 152885.5732075694540981
4 137287.1587484164920170 137436.3087484164861962 137287.1587484164920170 137436.3087484164861962
5 878797.9172549453796819 878947.0672549454029649 137287.1587484164920170 137436.3087484164861962
6 108881.3768392546335235 109030.5268392546277028 108881.3768392546335235 109030.5268392546277028
7 77799.0514915266394382 77948.2014915266336175 77799.0514915266394382 77948.2014915266336175
8 148322.8519130521453917 148472.0019130521395709 77799.0514915266394382 77948.2014915266336175
9 35605.0045065909798723 35754.1545065909813275 35605.0045065909798723 35754.1545065909813275
10 18650.3308804686748772 18799.4808804686763324 18650.3308804686748772 18799.4808804686763324
11 5871.4415135251010724 6020.5915135251007086 5871.4415135251010724 6020.5915135251007086
12 32847.5169298963446636 32996.6669298963461188 5871.4415135251010724 6020.5915135251007086
13 16934.0028956895548617 17083.1528956895563169 5871.4415135251010724 6020.5915135251007086
14 128540.2387585735268658 128689.3887585735210450 5871.4415135251010724 6020.5915135251007086
15 25200.6174665692087729 25349.7674665692102280 5871.4415135251010724 6020.5915135251007086
16 66614.9895146279741311 66764.1395146279683104 5871.4415135251010724 6020.5915135251007086
17 35537.1135940273088636 35686.2635940273103188 5871.4415135251010724 6020.5915135251007086
18 16944.9576188116152480 17094.1076188116167032 5871.4415135251010724 6020.5915135251007086
19 17108.7890509886492509 17257.9390509886507061 5871.4415135251010724 6020.5915135251007086
20 10907.8443015283628483 11056.9943015283624845 5871.4415135251010724 6020.5915135251007086
21 71874.5411834667756921 72023.6911834667698713 5871.4415135251010724 6020.5915135251007086
22 75402.9922008210996864 75552.1422008210938657 5871.4415135251010724 6020.5915135251007086
23 12357.8939152522943914 12507.0439152522940276 5871.4415135251010724 6020.5915135251007086
24 25417.5171800667812931 25566.6671800667827483 5871.4415135251010724 6020.5915135251007086
25 48996.4631739255564753 49145.6131739255579305 5871.4415135251010724 6020.5915135251007086
26 14658.4039609445571841 14807.5539609445568203 5871.4415135251010724 6020.5915135251007086
27 48166.3211091622724780 48315.4711091622739332 5871.4415135251010724 6020.5915135251007086
28 90060.6410313732485520 90209.7910313732427312 5871.4415135251010724 6020.5915135251007086
29 58264.4101775367380469 58413.5601775367395021 5871.4415135251010724 6020.5915135251007086
30 25335.9883386027831875 25485.1383386027846427 5871.4415135251010724 6020.5915135251007086
31 52892.4811803468401195 53041.6311803468415746 5871.4415135251010724 6020.5915135251007086
32 20028.2571812284040789 20177.4071812284055341 5871.4415135251010724 6020.5915135251007086
33 16111.7525472626002738 16260.9025472625999100 5871.4415135251010724 6020.5915135251007086
34 17026.3156744676016388 17175.4656744676030939 5871.4415135251010724 6020.5915135251007086
35 85248.0876136802980909 85397.2376136802922701 5871.4415135251010724 6020.5915135251007086
36 10978.8825009801057604 11128.0325009801053966 5871.4415135251010724 6020.5915135251007086
