evaluations raw_y current_y raw_y_best current_y_best
1 3115434.6666594832204282 3115224.7866594833321869 3115434.6666594832204282 3115224.7866594833321869
2 4788847.7066892590373755 4788637.8266892591491342 3115434.6666594832204282 3115224.7866594833321869
3 1128414.1125928605906665 1128204.2325928607024252 1128414.1125928605906665 1128204.2325928607024252
4 50636722.1671277210116386 50636512.2871277183294296 1128414.1125928605906665 1128204.2325928607024252
5 42132507.5188529938459396 42132297.6388529911637306 1128414.1125928605906665 1128204.2325928607024252
6 9151162.0165415368974209 9150952.1365415360778570 1128414.1125928605906665 1128204.2325928607024252
7 4491904.7325121136382222 4491694.8525121137499809 1128414.1125928605906665 1128204.2325928607024252
8 21825001.1139131188392639 21824791.2339131198823452 1128414.1125928605906665 1128204.2325928607024252
9 9436045.6746824085712433 9435835.7946824077516794 1128414.1125928605906665 1128204.2325928607024252
10 550638.0360398809425533 550428.1560398809378967 550638.0360398809425533 550428.1560398809378967
11 5623687.3532250719144940 5623477.4732250720262527 550638.0360398809425533 550428.1560398809378967
12 1228324.7363414024002850 1228114.8563414025120437 550638.0360398809425533 550428.1560398809378967
13 1318418.2019186406396329 1318208.3219186407513916 550638.0360398809425533 550428.1560398809378967
14 1820976.6574168943334371 1820766.7774168944451958 550638.0360398809425533 550428.1560398809378967
15 821385.3945142830489203 821175.5145142830442637 550638.0360398809425533 550428.1560398809378967
16 221367.0473683865275234 221157.1673683865228668 221367.0473683865275234 221157.1673683865228668
17 164163.9361315079440828 163954.0561315079394262 164163.9361315079440828 163954.0561315079394262
18 2003963.1472889569122344 2003753.2672889570239931 164163.9361315079440828 163954.0561315079394262
19 2671662.4214050378650427 2671452.5414050379768014 164163.9361315079440828 163954.0561315079394262
20 2798969.4327672971412539 2798759.5527672972530127 164163.9361315079440828 163954.0561315079394262
21 87695.8193349254579516 87485.9393349254532950 87695.8193349254579516 87485.9393349254532950
22 760723.1036181214731187 760513.2236181214684620 87695.8193349254579516 87485.9393349254532950
23 1070432.4099674522876740 1070222.5299674523994327 87695.8193349254579516 87485.9393349254532950
24 70829.4403080408519600 70619.5603080408473033 70829.4403080408519600 70619.5603080408473033
25 273038.8335730974795297 272828.9535730974748731 70829.4403080408519600 70619.5603080408473033
26 285052.7667989730252884 284842.8867989730206318 70829.4403080408519600 70619.5603080408473033
27 299016.7320334983523935 298806.8520334983477369 70829.4403080408519600 70619.5603080408473033
28 271407.0839063019375317 271197.2039063019328751 70829.4403080408519600 70619.5603080408473033
29 2830129.3396537923254073 2829919.4596537924371660 70829.4403080408519600 70619.5603080408473033
30 363141.4948756757657975 362931.6148756757611409 70829.4403080408519600 70619.5603080408473033
31 446851.1504880387219600 446641.2704880387173034 70829.4403080408519600 70619.5603080408473033
32 464788.6720827843528241 464578.7920827843481675 70829.4403080408519600 70619.5603080408473033
33 279913.1370895188883878 279703.2570895188837312 70829.4403080408519600 70619.5603080408473033
34 696009.2562451531412080 695799.3762451531365514 70829.4403080408519600 70619.5603080408473033
35 267363.5972468848922290 267153.7172468848875724 70829.4403080408519600 70619.5603080408473033
36 394510.1777651214506477 394300.2977651214459911 70829.4403080408519600 70619.5603080408473033
37 360066.2338209098670632 359856.3538209098624066 70829.4403080408519600 70619.5603080408473033
38 488477.2944007934420370 488267.4144007934373803 70829.4403080408519600 70619.5603080408473033
39 503854.8615256842458621 503644.9815256842412055 70829.4403080408519600 70619.5603080408473033
40 230212.2229399264324456 230002.3429399264277890 70829.4403080408519600 70619.5603080408473033
41 146177.4582349831180181 145967.5782349831133615 70829.4403080408519600 70619.5603080408473033
42 824952.4622747405664995 824742.5822747405618429 70829.4403080408519600 70619.5603080408473033
43 719324.8876730396877974 719115.0076730396831408 70829.4403080408519600 70619.5603080408473033
44 225235.7830287691031117 225025.9030287690984551 70829.4403080408519600 70619.5603080408473033
45 798610.6026173075661063 798400.7226173075614497 70829.4403080408519600 70619.5603080408473033
46 371582.2556127596762963 371372.3756127596716397 70829.4403080408519600 70619.5603080408473033
47 145301.1337236702383962 145091.2537236702337395 70829.4403080408519600 70619.5603080408473033
48 3541500.5395441194996238 3541290.6595441196113825 70829.4403080408519600 70619.5603080408473033
49 5548143.3772437917068601 5547933.4972437918186188 70829.4403080408519600 70619.5603080408473033
50 1082329.2794869022909552 1082119.3994869024027139 70829.4403080408519600 70619.5603080408473033
51 558715.7823851617285982 558505.9023851617239416 70829.4403080408519600 70619.5603080408473033
52 304955.2423099146690220 304745.3623099146643654 70829.4403080408519600 70619.5603080408473033
53 527288.7113453646888956 527078.8313453646842390 70829.4403080408519600 70619.5603080408473033
54 481806.9262862618779764 481597.0462862618733197 70829.4403080408519600 70619.5603080408473033
55 310666.6758504809695296 310456.7958504809648730 70829.4403080408519600 70619.5603080408473033
56 96631.7441967714694329 96421.8641967714647762 70829.4403080408519600 70619.5603080408473033
57 3815279.2988705877214670 3815069.4188705878332257 70829.4403080408519600 70619.5603080408473033
58 2504180.9054665775038302 2503971.0254665776155889 70829.4403080408519600 70619.5603080408473033
59 714203.8549518194049597 713993.9749518194003031 70829.4403080408519600 70619.5603080408473033
60 1760654.1997801950201392 1760444.3197801951318979 70829.4403080408519600 70619.5603080408473033
61 915565.3523607614915818 915355.4723607614869252 70829.4403080408519600 70619.5603080408473033
62 418412.1889312576386146 418202.3089312576339580 70829.4403080408519600 70619.5603080408473033
63 292634.1084763708640821 292424.2284763708594255 70829.4403080408519600 70619.5603080408473033
64 1048371.2350648578722030 1048161.3550648578675464 70829.4403080408519600 70619.5603080408473033
65 4381444.0297851311042905 4381234.1497851312160492 70829.4403080408519600 70619.5603080408473033
66 584495.3249130150070414 584285.4449130150023848 70829.4403080408519600 70619.5603080408473033
67 454140.3286047126166523 453930.4486047126119956 70829.4403080408519600 70619.5603080408473033
68 880345.6567926144925877 880135.7767926144879311 70829.4403080408519600 70619.5603080408473033
69 132421.8689355276874267 132211.9889355276827700 70829.4403080408519600 70619.5603080408473033
70 995980.0740165336756036 995770.1940165336709470 70829.4403080408519600 70619.5603080408473033
71 4333723.4291244298219681 4333513.5491244299337268 70829.4403080408519600 70619.5603080408473033
72 1422135.1282972795888782 1421925.2482972797006369 70829.4403080408519600 70619.5603080408473033
73 201039.5233471285901032 200829.6433471285854466 70829.4403080408519600 70619.5603080408473033
74 1493165.0006078893784434 1492955.1206078894902021 70829.4403080408519600 70619.5603080408473033
75 96473.1854969305422856 96263.3054969305376289 70829.4403080408519600 70619.5603080408473033
76 255662.9110377596225590 255453.0310377596179023 70829.4403080408519600 70619.5603080408473033
77 398635.3587400501710363 398425.4787400501663797 70829.4403080408519600 70619.5603080408473033
78 309565.5852334983064793 309355.7052334983018227 70829.4403080408519600 70619.5603080408473033
79 1301465.5364484544843435 1301255.6564484545961022 70829.4403080408519600 70619.5603080408473033
80 1505722.1934101926162839 1505512.3134101927280426 70829.4403080408519600 70619.5603080408473033
81 1747592.0901337454561144 1747382.2101337455678731 70829.4403080408519600 70619.5603080408473033
82 321029.8055788447964005 320819.9255788447917439 70829.4403080408519600 70619.5603080408473033
83 112966.6112555376312230 112756.7312555376265664 70829.4403080408519600 70619.5603080408473033
84 212144.3947783725743648 211934.5147783725697082 70829.4403080408519600 70619.5603080408473033
85 1290251.7802462819963694 1290041.9002462821081281 70829.4403080408519600 70619.5603080408473033
86 5075388.1876853145658970 5075178.3076853146776557 70829.4403080408519600 70619.5603080408473033
87 229177.2949560054403264 228967.4149560054356698 70829.4403080408519600 70619.5603080408473033
88 241293.1805432347755414 241083.3005432347708847 70829.4403080408519600 70619.5603080408473033
89 2953283.4451469359919429 2953073.5651469361037016 70829.4403080408519600 70619.5603080408473033
