evaluations raw_y current_y raw_y_best current_y_best
1 53222865.3164007738232613 53222655.4364007711410522 53222865.3164007738232613 53222655.4364007711410522
2 8003294.1001420933753252 8003084.2201420934870839 8003294.1001420933753252 8003084.2201420934870839
3 27498910.0011260733008385 27498700.1211260743439198 8003294.1001420933753252 8003084.2201420934870839
4 9851472.1683137491345406 9851262.2883137483149767 8003294.1001420933753252 8003084.2201420934870839
5 37374313.6250092685222626 37374103.7450092658400536 8003294.1001420933753252 8003084.2201420934870839
6 23908117.7603185214102268 23907907.8803185224533081 8003294.1001420933753252 8003084.2201420934870839
7 31347260.6769135557115078 31347050.7969135567545891 8003294.1001420933753252 8003084.2201420934870839
8 31894070.1156738065183163 31893860.2356738075613976 8003294.1001420933753252 8003084.2201420934870839
9 7655077.4993259441107512 7654867.6193259442225099 7655077.4993259441107512 7654867.6193259442225099
10 6936977.2279446600005031 6936767.3479446601122618 6936977.2279446600005031 6936767.3479446601122618
11 7298429.6445068083703518 7298219.7645068084821105 6936977.2279446600005031 6936767.3479446601122618
12 7785497.5986245404928923 7785287.7186245406046510 6936977.2279446600005031 6936767.3479446601122618
13 7791794.1171116363257170 7791584.2371116364374757 6936977.2279446600005031 6936767.3479446601122618
14 8111313.9482986312359571 8111104.0682986313477159 6936977.2279446600005031 6936767.3479446601122618
15 8656949.2740185316652060 8656739.3940185308456421 6936977.2279446600005031 6936767.3479446601122618
16 7615260.8435071092098951 7615050.9635071093216538 6936977.2279446600005031 6936767.3479446601122618
17 9337319.8579966593533754 9337109.9779966585338116 6936977.2279446600005031 6936767.3479446601122618
18 9437184.2817825321108103 9436974.4017825312912464 6936977.2279446600005031 6936767.3479446601122618
19 8471845.1834744121879339 8471635.3034744113683701 6936977.2279446600005031 6936767.3479446601122618
20 7840107.9678088203072548 7839898.0878088204190135 6936977.2279446600005031 6936767.3479446601122618
21 8149686.9289487265050411 8149477.0489487266167998 6936977.2279446600005031 6936767.3479446601122618
22 8137539.2250714236870408 8137329.3450714237987995 6936977.2279446600005031 6936767.3479446601122618
23 11113617.4291508439928293 11113407.5491508431732655 6936977.2279446600005031 6936767.3479446601122618
24 7413868.7765570878982544 7413658.8965570880100131 6936977.2279446600005031 6936767.3479446601122618
25 8093209.1077766185626388 8092999.2277766186743975 6936977.2279446600005031 6936767.3479446601122618
26 7362433.3882798785343766 7362223.5082798786461353 6936977.2279446600005031 6936767.3479446601122618
27 8260700.7879422167316079 8260490.9079422168433666 6936977.2279446600005031 6936767.3479446601122618
28 7925069.8136042095720768 7924859.9336042096838355 6936977.2279446600005031 6936767.3479446601122618
29 7468639.8363639637827873 7468429.9563639638945460 6936977.2279446600005031 6936767.3479446601122618
30 7234715.2137979250401258 7234505.3337979251518846 6936977.2279446600005031 6936767.3479446601122618
31 7162897.9878144534304738 7162688.1078144535422325 6936977.2279446600005031 6936767.3479446601122618
32 8154376.2834077123552561 8154166.4034077124670148 6936977.2279446600005031 6936767.3479446601122618
33 8002573.4666356407105923 8002363.5866356408223510 6936977.2279446600005031 6936767.3479446601122618
34 9900298.8788206521421671 9900088.9988206513226032 6936977.2279446600005031 6936767.3479446601122618
35 7608585.4163796380162239 7608375.5363796381279826 6936977.2279446600005031 6936767.3479446601122618
36 7968772.1803824789822102 7968562.3003824790939689 6936977.2279446600005031 6936767.3479446601122618
37 7026876.7210728749632835 7026666.8410728750750422 6936977.2279446600005031 6936767.3479446601122618
38 7322056.1716029290109873 7321846.2916029291227460 6936977.2279446600005031 6936767.3479446601122618
39 8932015.2322951536625624 8931805.3522951528429985 6936977.2279446600005031 6936767.3479446601122618
40 8739753.1958414148539305 8739543.3158414140343666 6936977.2279446600005031 6936767.3479446601122618
41 7146979.2723938301205635 7146769.3923938302323222 6936977.2279446600005031 6936767.3479446601122618
42 9419083.2335139028728008 9418873.3535139020532370 6936977.2279446600005031 6936767.3479446601122618
43 7709688.4876878606155515 7709478.6076878607273102 6936977.2279446600005031 6936767.3479446601122618
44 7535887.1457056170329452 7535677.2657056171447039 6936977.2279446600005031 6936767.3479446601122618
45 7616446.0358997657895088 7616236.1558997659012675 6936977.2279446600005031 6936767.3479446601122618
46 6555979.2604731675237417 6555769.3804731676355004 6555979.2604731675237417 6555769.3804731676355004
47 8516699.8212903998792171 8516489.9412903990596533 6555979.2604731675237417 6555769.3804731676355004
48 8772822.7068837527185678 8772612.8268837518990040 6555979.2604731675237417 6555769.3804731676355004
49 8129239.5030067618936300 8129029.6230067620053887 6555979.2604731675237417 6555769.3804731676355004
50 7727359.2380666369572282 7727149.3580666370689869 6555979.2604731675237417 6555769.3804731676355004
51 8302443.4170123413205147 8302233.5370123414322734 6555979.2604731675237417 6555769.3804731676355004
52 8964409.8721134886145592 8964199.9921134877949953 6555979.2604731675237417 6555769.3804731676355004
53 7734852.5508067673072219 7734642.6708067674189806 6555979.2604731675237417 6555769.3804731676355004
54 7151806.0558375399559736 7151596.1758375400677323 6555979.2604731675237417 6555769.3804731676355004
55 9116723.8247174900025129 9116513.9447174891829491 6555979.2604731675237417 6555769.3804731676355004
56 6533791.1960753854364157 6533581.3160753855481744 6533791.1960753854364157 6533581.3160753855481744
57 7229007.8645771099254489 7228797.9845771100372076 6533791.1960753854364157 6533581.3160753855481744
58 7786300.5211800383403897 7786090.6411800384521484 6533791.1960753854364157 6533581.3160753855481744
59 7270395.0025265906006098 7270185.1225265907123685 6533791.1960753854364157 6533581.3160753855481744
60 6993448.9678072175011039 6993239.0878072176128626 6533791.1960753854364157 6533581.3160753855481744
61 6938064.9190667476505041 6937855.0390667477622628 6533791.1960753854364157 6533581.3160753855481744
62 7633137.7086248584091663 7632927.8286248585209250 6533791.1960753854364157 6533581.3160753855481744
63 9434565.6968825589865446 9434355.8168825581669807 6533791.1960753854364157 6533581.3160753855481744
64 9795652.0545264687389135 9795442.1745264679193497 6533791.1960753854364157 6533581.3160753855481744
65 9750427.9385268911719322 9750218.0585268903523684 6533791.1960753854364157 6533581.3160753855481744
66 6823847.0902782892808318 6823637.2102782893925905 6533791.1960753854364157 6533581.3160753855481744
67 9479157.1534647587686777 9478947.2734647579491138 6533791.1960753854364157 6533581.3160753855481744
68 7507277.6433463403955102 7507067.7633463405072689 6533791.1960753854364157 6533581.3160753855481744
69 9867171.4735756907612085 9866961.5935756899416447 6533791.1960753854364157 6533581.3160753855481744
70 9467239.1546681951731443 9467029.2746681943535805 6533791.1960753854364157 6533581.3160753855481744
71 9821630.8342690039426088 9821420.9542690031230450 6533791.1960753854364157 6533581.3160753855481744
72 7312918.9548610141500831 7312709.0748610142618418 6533791.1960753854364157 6533581.3160753855481744
73 10446525.5275161657482386 10446315.6475161649286747 6533791.1960753854364157 6533581.3160753855481744
74 9924906.8695385660976171 9924696.9895385652780533 6533791.1960753854364157 6533581.3160753855481744
75 8596750.4343144502490759 8596540.5543144494295120 6533791.1960753854364157 6533581.3160753855481744
76 12707265.5441894028335810 12707055.6641894020140171 6533791.1960753854364157 6533581.3160753855481744
77 12069201.2237318977713585 12068991.3437318969517946 6533791.1960753854364157 6533581.3160753855481744
78 15912272.2689633332192898 15912062.3889633323997259 6533791.1960753854364157 6533581.3160753855481744
79 9122779.1790134459733963 9122569.2990134451538324 6533791.1960753854364157 6533581.3160753855481744
80 9228884.3639323301613331 9228674.4839323293417692 6533791.1960753854364157 6533581.3160753855481744
81 11258119.7459745444357395 11257909.8659745436161757 6533791.1960753854364157 6533581.3160753855481744
82 10975863.4203266538679600 10975653.5403266530483961 6533791.1960753854364157 6533581.3160753855481744
83 12499548.9910166058689356 12499339.1110166050493717 6533791.1960753854364157 6533581.3160753855481744
84 8319316.2339072208851576 8319106.3539072209969163 6533791.1960753854364157 6533581.3160753855481744
85 10687096.3203073367476463 10686886.4403073359280825 6533791.1960753854364157 6533581.3160753855481744
86 7471160.3767580110579729 7470950.4967580111697316 6533791.1960753854364157 6533581.3160753855481744
